fiveyfivey_UK	Ten_Year_UK	date
-1	-1.96	03jan2017
-1	-1.98	04jan2017
-1	-2.00	05jan2017
-1	-1.95	06jan2017
-1	-1.96	09jan2017
-1	-1.98	10jan2017
-1	-2.01	11jan2017
-1	-2.03	12jan2017
-1	-1.99	13jan2017
-1	-2.00	16jan2017
-1	-1.96	17jan2017
-1	-1.96	18jan2017
-1	-1.89	19jan2017
-1	-1.85	20jan2017
-1	-1.88	23jan2017
-1	-1.91	24jan2017
-1	-1.85	25jan2017
-1	-1.84	26jan2017
-1	-1.89	27jan2017
-1	-1.92	30jan2017
-1	-1.97	31jan2017
-1	-1.96	01feb2017
-1	-1.98	02feb2017
-1	-1.96	03feb2017
-1	-1.99	06feb2017
-1	-2.00	07feb2017
-1	-2.03	08feb2017
-1	-2.03	09feb2017
-1	-2.00	10feb2017
-1	-1.97	13feb2017
-1	-1.94	14feb2017
-1	-1.93	15feb2017
-1	-1.94	16feb2017
-1	-1.94	17feb2017
-1	-1.93	20feb2017
-1	-1.87	21feb2017
-1	-1.87	22feb2017
-1	-1.94	23feb2017
-1	-2.00	24feb2017
-1	-2.02	27feb2017
-1	-2.02	28feb2017
-1	-1.97	01mar2017
-1	-1.97	02mar2017
-1	-1.95	03mar2017
-1	-1.92	06mar2017
-1	-1.95	07mar2017
-1	-1.95	08mar2017
-1	-1.95	09mar2017
-1	-1.95	10mar2017
-1	-1.95	13mar2017
-1	-1.96	14mar2017
-1	-1.97	15mar2017
-1	-1.92	16mar2017
-1	-1.86	17mar2017
-1	-1.89	20mar2017
-1	-1.91	21mar2017
-1	-1.99	22mar2017
-1	-1.98	23mar2017
-1	-2.03	24mar2017
-1	-2.04	27mar2017
-1	-2.03	28mar2017
-1	-2.03	29mar2017
-1	-2.04	30mar2017
-1	-2.07	31mar2017
-2	-2.14	03apr2017
-2	-2.17	04apr2017
-2	-2.18	05apr2017
-2	-2.20	06apr2017
-2	-2.19	07apr2017
-2	-2.21	10apr2017
-2	-2.28	11apr2017
-2	-2.30	12apr2017
-2	-2.26	13apr2017
-2	-2.17	18apr2017
-2	-2.12	19apr2017
-2	-2.10	20apr2017
-2	-2.13	21apr2017
-2	-2.09	24apr2017
-1	-2.07	25apr2017
-1	-2.04	26apr2017
-1	-2.02	27apr2017
-2	-2.07	28apr2017
-2	-2.05	02may2017
-1	-2.02	03may2017
-1	-1.96	04may2017
-1	-1.92	05may2017
-1	-1.88	08may2017
-1	-1.88	09may2017
-1	-1.94	10may2017
-1	-1.98	11may2017
-1	-2.00	12may2017
-1	-2.01	15may2017
-1	-2.01	16may2017
-1	-2.02	17may2017
-1	-2.02	18may2017
-1	-2.02	19may2017
-1	-2.02	22may2017
-2	-2.06	23may2017
-2	-2.05	24may2017
-2	-2.04	25may2017
-2	-2.07	26may2017
-2	-2.08	30may2017
-2	-2.03	31may2017
-1	-2.00	01jun2017
-2	-2.02	02jun2017
-1	-2.00	05jun2017
-2	-2.06	06jun2017
-2	-2.04	07jun2017
-1	-1.97	08jun2017
-1	-2.00	09jun2017
-2	-2.05	12jun2017
-1	-2.02	13jun2017
-2	-2.06	14jun2017
-1	-1.93	15jun2017
-1	-1.94	16jun2017
