R_5_5	DFII10	daten
		02jan2017
.8615198	.47	03jan2017
.8615198	.47	04jan2017
.8115205	.42	05jan2017
.8414429	.46	06jan2017
.8215204	.43	09jan2017
.8114433	.43	10jan2017
.7412245	.39	11jan2017
.761444	.38	12jan2017
.7712954	.41	13jan2017
		16jan2017
.721296	.36	17jan2017
.7712241	.42	18jan2017
.7912951	.43	19jan2017
.8516805	.44	20jan2017
.7613687	.39	23jan2017
.8115999	.41	24jan2017
.8717635	.45	25jan2017
.8517638	.43	26jan2017
.8418494	.41	27jan2017
.8518491	.42	30jan2017
.8419368	.4	31jan2017
.8517638	.43	01feb2017
.8719362	.43	02feb2017
.8617637	.44	03feb2017
.852026	.4	06feb2017
.8217643	.4	07feb2017
.7715212	.38	08feb2017
.8015207	.41	09feb2017
.7814437	.4	10feb2017
.8114433	.43	13feb2017
.8112237	.46	14feb2017
.8213679	.45	15feb2017
.8114433	.43	16feb2017
.7511552	.41	17feb2017
		20feb2017
.7411553	.4	21feb2017
.761444	.38	22feb2017
.7314444	.35	23feb2017
.7216827	.31	24feb2017
.6911559	.35	27feb2017
.681156	.34	28feb2017
.7107828	.43	01mar2017
.7708394	.48	02mar2017
.8012238	.45	03mar2017
.8412944	.48	06mar2017
.8512943	.49	07mar2017
.9414414	.56	08mar2017
.9612929	.6	09mar2017
.9312932	.57	10mar2017
.941086	.61	13mar2017
.9712928	.61	14mar2017
.8210222	.5	15mar2017
.841087	.51	16mar2017
.8412233	.49	17mar2017
.8010875	.47	20mar2017
.7408397	.45	21mar2017
.7007279	.43	22mar2017
.7206747	.46	23mar2017
.640483	.42	24mar2017
.640528	.41	27mar2017
.6604399	.45	28mar2017
.690783	.41	29mar2017
.7709596	.46	30mar2017
.7007279	.43	31mar2017
.6305751	.39	03apr2017
.6908401	.4	04apr2017
.6608403	.37	05apr2017
.6205281	.39	06apr2017
.6604829	.44	07apr2017
.6604829	.44	10apr2017
.680728	.41	11apr2017
.6406752	.38	12apr2017
.6108407	.32	13apr2017
		14apr2017
.6607832	.38	17apr2017
.6007286	.33	18apr2017
.6407834	.36	19apr2017
.8218497	.39	20apr2017
.8217643	.4	21apr2017
.821681	.41	24apr2017
.8617637	.44	25apr2017
.8316808	.42	26apr2017
.781521	.39	27apr2017
.741369	.37	28apr2017
.7813684	.41	01may2017
.7813684	.41	02may2017
.8212947	.46	03may2017
.8411542	.5	04may2017
.8612942	.5	05may2017
.9013668	.53	08may2017
.9212934	.56	09may2017
.9615974	.56	10may2017
.9115982	.51	11may2017
.8815195	.49	12may2017
.921598	.52	15may2017
.9015192	.51	16may2017
.8214431	.44	17may2017
.8013682	.43	18may2017
.7813684	.41	19may2017
.8114433	.43	22may2017
.8515199	.46	23may2017
.8415201	.45	24may2017
.8213679	.45	25may2017
.8214431	.44	26may2017
		29may2017
.7713686	.4	30may2017
.7713686	.4	31may2017
.7713686	.4	01jun2017
.7313691	.36	02jun2017
.7613687	.39	05jun2017
.741369	.37	06jun2017
.7512244	.4	07jun2017
.7612243	.41	08jun2017
.771155	.43	09jun2017
.8112237	.46	12jun2017
.8011546	.46	13jun2017
.7308397	.44	14jun2017
.7808393	.49	15jun2017
.7908983	.49	16jun2017
.8007821	.52	19jun2017
.7707273	.5	20jun2017
.7606744	.5	21jun2017
.7307276	.46	22jun2017
.7207277	.45	23jun2017
.7007279	.43	26jun2017
.7908393	.5	27jun2017
.8210873	.49	28jun2017
.8710217	.55	29jun2017
.9010213	.58	30jun2017
.9310861	.6	03jul2017
		04jul2017
.8909584	.58	05jul2017
.941086	.61	06jul2017
1.001152	.66	07jul2017
.9910855	.66	10jul2017
.930958	.62	11jul2017
.8910214	.57	12jul2017
.9110863	.58	13jul2017
.8910214	.57	14jul2017
.8610218	.54	17jul2017
.820959	.51	18jul2017
.841087	.51	19jul2017
.8008982	.5	20jul2017
.7708394	.48	21jul2017
.7507275	.48	24jul2017
.8108391	.52	25jul2017
.8110223	.49	26jul2017
.8210873	.49	27jul2017
.7910225	.47	28jul2017
.7909594	.48	31jul2017
.7608395	.47	01aug2017
.7708394	.48	02aug2017
.7508396	.46	03aug2017
.7708985	.47	04aug2017
.7608986	.46	07aug2017
.7709596	.46	08aug2017
.7309599	.42	09aug2017
.7008991	.4	10aug2017
.7008991	.4	11aug2017
.7207277	.45	14aug2017
.7808393	.49	15aug2017
.7307826	.45	16aug2017
.6907279	.42	17aug2017
.7007279	.43	18aug2017
.6906748	.43	21aug2017
.7106747	.45	22aug2017
.6605749	.42	23aug2017
.7006748	.44	24aug2017
.640483	.42	25aug2017
.640528	.41	28aug2017
.6205281	.39	29aug2017
.6305751	.39	30aug2017
.6005753	.36	31aug2017
.6407283	.37	01sep2017
		04sep2017
.5305287	.3	05sep2017
.5505285	.32	06sep2017
.5005758	.26	07sep2017
.4905759	.25	08sep2017
.5405286	.31	11sep2017
.5806245	.33	12sep2017
.6006244	.35	13sep2017
.6106754	.35	14sep2017
.6106754	.35	15sep2017
.6307284	.36	18sep2017
.6407283	.37	19sep2017
.6806239	.43	20sep2017
.6906238	.44	21sep2017
.6706239	.42	22sep2017
.6306242	.38	25sep2017
.6506241	.4	26sep2017
.7107278	.44	27sep2017
.7207828	.44	28sep2017
.7406235	.49	29sep2017
.8108981	.51	02oct2017
.7406235	.49	03oct2017
.7708394	.48	04oct2017
.7808393	.49	05oct2017
.8109592	.5	06oct2017
		09oct2017
.7407275	.47	10oct2017
.7206747	.46	11oct2017
.7207828	.44	12oct2017
.6605279	.43	13oct2017
.6302882	.46	16oct2017
.6803989	.48	17oct2017
.7003988	.5	18oct2017
.6602881	.49	19oct2017
.7706233	.52	20oct2017
.7203987	.52	23oct2017
.7805274	.55	24oct2017
.8005742	.56	25oct2017
.8306739	.57	26oct2017
.8107271	.54	27oct2017
.7707273	.5	30oct2017
.7807823	.5	31oct2017
.6803599	.49	01nov2017
